PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-04-09,4008600387381,נוק בקבוק אימון דיסני אפור 150 מל 6-18 ח,General,גרמניה,בקבוק אימון לשתיה עצמאית דיסני אפור 6-18 חודשים,,0.00,0.00,0,1.00,50.90,50.90,1,0
2025-04-09,7290012071935,אמול לתינוק 200 מל,מדי פישר,,שמן רחצה קלאסי לתינוק,מיליליטר,200.00,"100 מ""ל",0,1.00,60.90,0.00,1,0
2025-04-09,7290010119950,דוריטוס חמוץ חריף 55גרם,General,,חטיף תירס מתובל חמוץ חריף,גרם,55.00,100 גרם,0,1.00,4.90,0.00,1,0
2025-04-24,7290011771515,סבוקלם דרמו קר קרם לחות עור מעורב-שמן 50,טטרה פארם,,דרמו קר קרם לחות עור מעורב-שמן,מיליליטר,50.00,"100 מ""ל",0,1.00,90.90,0.01,1,0
2025-08-11,8710502447006,מרבה עוגיות שוקולד ציפס במילוי קרם וניל,שסטוביץ,הולנד,קוקיס&קרים עוגיות שוקולד צ'יפס ואגוזי לוז במילוי קרם בטעם וניל,גרם,160.00,100 גרם,0,1.00,13.90,0.00,1,0
2025-06-01,4005900775788,ניוואה Q10 סט קרם יום,אלפא,גרמניה,Q10 סט קרם יום + קרם לילה + קרם יום,,0.00,0.00,0,1.00,201.00,201.00,1,0
2025-07-06,8076809523738,ברילה צ.מ לזניה 500 גרם,שסטוביץ,איטליה,לזניה,גרם,500.00,100 גרם,0,1.00,22.90,0.00,1,0
2025-04-09,9001616825620,מוצץ בודד מאמ מאט 0-6 פטמה סימטרית-תכלת,אלפא,אוסטריה,מוצץ בודד מאמ מאט 0-6 עם פטמה אורתודנטית סימטרית,,1.00,0.00,0,1.00,25.90,25.90,1,0
2025-04-24,3337875553278,וישי דאודורנט רול און מינרלי 48 שעות,נורוליס,צרפת,דאודורנט רול און מינרלי 48 שעות,מיליליטר,50.00,"100 מ""ל",0,1.00,69.90,0.01,1,0
2025-06-03,7622300489434,עוגיות אוראו בציפוי שוקולד חלב 246 גרם,דיפלומט,ספרד,עוגיות סנדוויץ' בציפוי בטעם שוקולד חלב,גרם,246.00,100 גרם,0,1.00,32.90,0.00,1,0
2025-04-23,96198117,פישרמנס סוכריות ספירמינט ללא סוכר,שלפארם,בריטניה,סוכריות ספירמינט ללא סוכר,גרם,25.00,100 גרם,0,1.00,10.00,0.00,1,0
2025-06-01,3390150572593,פאיו אותנטיק טיפול זהב משקם לעור 50 מל,לילית,צרפת,L'AUTHENTIQUE טיפול זהב משקם לעור,מיליליטר,50.00,"100 מ""ל",0,1.00,403.00,0.08,1,0
2025-01-08,074764704375,ארדל רצועות ריסים מארז דמי ויספיס,רייס,ארצות הברית,רצועות ריסים דמי ויספיס,,0.00,0.00,0,1.00,121.00,121.00,1,0
2025-04-09,7290018921203,קמיל בלו קרם החתלה קמומיל 120 גרם,מדי פישר,ישראל,קרם החתלה קמומיל,גרם,120.00,100 גרם,0,1.00,22.90,0.00,1,0
2025-05-15,7290016558753,סינוז פלוס משחה לחלל האף,גילקו פארם,ישראל,סינוז פלוס - משחה לחלל האף,,0.00,0.00,0,1.00,40.90,40.90,1,0
2025-08-15,7290102062195,אלמקס גוניור משחת שיניים לגילאי 6-12,טבע,,משחת שיניים לילדים ג'וניור לגילאי 6-12,מיליליטר,75.00,"100 מ""ל",0,1.00,18.90,0.00,1,0
