PriceUpdateDate,ItemCode,IsGiftItem,RewardType,AllowMultipleDiscounts,PromotionId
2025-08-27 08:18:50,8700216697743,0,3,1,4257721
2025-08-27 07:49:08,7290110459567,0,11,0,4120406
2025-08-27 16:26:52,7290120935877,0,4,1,4258058
2025-08-21 09:46:42,7290010182985,0,3,1,4255398
2025-08-27 07:48:02,7290119917006,0,4,1,4258200
2025-08-27 13:32:38,7290116911168,0,8,1,4269133
2025-08-27 07:48:02,3574661039725,0,4,1,4258200
2025-08-27 08:17:47,7290104261206,0,2,1,4257615
2025-08-27 08:18:52,7702018574162,0,3,1,4257723
2025-08-27 07:49:08,0885190821273,0,11,0,4120406
2025-08-27 07:48:02,7290113822757,0,4,1,4258200
2025-08-24 12:17:28,7290116535821,0,3,1,4258576
2025-08-27 07:49:08,074764664266,0,11,0,4120406
2025-08-24 16:27:56,3614274158458,0,4,1,4259588
2025-08-24 08:45:11,7290100413531,0,2,1,4258164
2025-08-27 07:49:08,8809255780178,0,11,0,4120406
2025-08-26 16:52:35,3614273924061,0,4,1,4266276
2025-08-27 08:21:36,7290118203841,0,2,1,4258103
2025-08-27 07:49:08,7290111597527,0,11,0,4120406
2025-08-24 16:39:38,7290104969911,0,8,1,4259884
2025-08-24 16:32:36,3264680034503,0,4,1,4259620
2025-08-27 07:48:02,3666057030956,0,4,1,4258200
2025-08-27 07:48:02,7296179014952,0,4,1,4258200
2025-08-27 07:48:02,3614273346498,0,4,1,4258200
2025-08-27 08:19:02,3616302078622,0,8,1,4257902
2025-08-27 16:26:52,7290113840508,0,4,1,4258058
2025-08-27 07:48:02,30152274,0,4,1,4258200
2025-08-27 07:49:08,3600542097253,0,11,0,4120406
2025-08-27 08:18:22,3838824193939,0,8,1,4257677
2025-08-27 07:49:08,3390150591785,0,11,0,4120406
2025-08-27 07:49:08,3600542375801,0,11,0,4120406
2025-08-24 16:39:29,7290012350245,0,3,1,4259873
2025-08-27 16:26:52,7290118204190,0,4,1,4258058
2025-08-27 16:26:52,7290122850901,0,4,1,4258058
2025-08-24 16:33:43,3600524119300,0,3,1,4259711
2025-08-24 16:38:27,9007867765135,0,8,1,4259800
2025-08-24 16:34:02,3600524122775,0,4,1,4259734
2025-08-27 07:49:08,3614272049161,0,11,0,4120406
2025-08-27 07:48:02,7290119913244,0,4,1,4258200
2025-08-27 07:49:08,8800256108046,0,11,0,4120406
2025-08-27 08:18:57,8700216891080,0,1,1,4257895
2025-08-27 07:49:08,3390150592720,0,11,0,4120406
2025-08-24 16:39:17,074764652362,0,8,1,4259858
2025-08-25 15:18:24,7290115043433,0,8,1,4262715
2025-08-27 07:48:02,8809647392750,0,4,1,4258200
2025-08-27 07:49:08,7290104967207,0,11,0,4120406
2025-08-27 07:49:08,9007867766378,0,11,0,4120406
2025-08-25 09:00:15,020714352837,0,4,1,4259927
2025-08-27 16:26:52,7290108452082,0,4,1,4258058
2025-08-27 07:48:02,3264680034510,0,4,1,4258200
2025-08-24 15:18:05,7290015156790,0,1,1,4258575
2025-08-27 08:21:13,7290120939813,0,8,1,4258075
2025-08-27 16:26:52,7290119919697,0,4,1,4258058
2025-08-27 07:49:08,3574661471181,0,11,0,4120406
2025-01-01 00:05:01,8700216891080,0,3,1,3990138
2025-08-27 07:49:08,8809647394129,0,11,0,4120406
2025-08-24 14:18:17,7613036984454,0,1,1,4258720
2025-08-27 07:49:08,5060895832440,0,11,0,4120406
2025-08-27 16:26:52,7290120937055,0,4,1,4258058
2025-08-27 08:18:08,7290000199313,0,8,1,4257653
2025-08-27 07:48:02,8809255786873,0,4,1,4258200
2025-08-24 08:45:19,5000488107531,0,3,1,4258178
2025-08-27 16:26:52,7290120667150,0,4,1,4258058
2025-08-27 07:49:08,9007867761182,0,11,0,4120406
2025-08-25 15:18:24,7290017637532,0,8,1,4262714
2025-08-24 16:38:40,3390150591525,0,4,1,4259808
2025-08-27 07:48:02,7290110456573,0,4,1,4258200
2025-08-27 07:49:08,7290113823518,0,11,0,4120406
2025-08-27 07:48:02,020714859459,0,4,1,4258200
2025-08-27 16:26:52,7290120664753,0,4,1,4258058
2025-08-27 07:49:08,785364600287,0,11,0,4120406
2025-08-27 07:49:08,8809928131184,0,11,0,4120406
2025-08-27 07:48:02,7290119913237,0,4,1,4258200
2025-08-27 08:18:07,7290118205593,0,4,1,4257652
2025-08-27 08:21:34,7290120667259,0,8,1,4258101
2025-08-27 07:48:02,7290113823358,0,4,1,4258200
2025-08-27 16:26:52,7290120930315,0,4,1,4258058
2025-08-27 16:26:52,7290103432331,0,4,1,4258058
2025-08-25 08:59:51,7290106295759,0,8,1,4259900
2025-08-27 07:48:02,7290113823266,0,4,1,4258200
2025-08-27 16:26:52,7290118202073,0,4,1,4258058
2025-08-24 16:31:52,3666057216497,0,4,1,4259596
2025-08-27 07:48:02,7290104965494,0,4,1,4258200
2025-08-27 08:22:00,7046110069202,0,2,1,4258133
2025-08-27 07:48:02,020714146559,0,4,1,4258200
2025-08-27 16:26:52,7290118202615,0,4,1,4258058
2025-08-27 08:19:30,8720181238413,0,7,1,4257942
2025-08-27 08:21:34,7290120667556,0,8,1,4258101
2025-08-27 08:21:34,7290120667204,0,8,1,4258101
2025-08-25 09:00:23,887167539587,0,4,1,4259941
2025-08-27 07:49:08,8809255780253,0,11,0,4120406
2025-08-26 16:52:35,3614270264900,0,4,1,4266276
2025-08-26 16:52:35,3614274179521,0,4,1,4266276
2025-08-27 07:48:02,4006000173009,0,4,1,4258200
2025-08-27 08:18:25,4009900420129,0,1,1,4266661
2025-08-27 07:49:08,3600542513241,0,11,0,4120406
2025-08-27 07:48:02,7290119919611,0,4,1,4258200
2025-08-27 07:49:08,8809576260717,0,11,0,4120406
2025-08-24 16:38:30,3390150589959,0,8,1,4259804
2025-08-27 07:48:02,5025155103456,0,4,1,4258200
2025-08-27 08:18:58,8700216421881,0,1,1,4257897
2025-08-27 07:48:02,027131988137,0,4,1,4258200
2025-08-25 09:00:23,887167485501,0,4,1,4259941
2025-08-27 07:48:02,0885190821235,0,4,1,4258200
2025-08-27 16:26:52,7290114969246,0,4,1,4258058
2025-08-27 08:17:50,7290103446253,0,7,1,4257620
2025-08-27 07:48:02,7290110455675,0,4,1,4258200
2025-08-27 08:18:25,4009900482417,0,1,1,4266661
2025-08-27 08:18:16,7290000197548,0,1,1,4257667
2025-08-27 07:48:02,3666057272752,0,4,1,4258200
2025-08-27 08:18:22,4015100430981,0,8,1,4257677
2025-08-27 16:26:52,7290118202868,0,4,1,4258058
2025-08-27 08:20:42,8718951402188,0,3,1,4258037
2025-08-27 07:48:02,887167561861,0,4,1,4258200
2025-08-25 08:59:51,7290110459550,0,8,1,4259900
2025-08-27 07:49:08,7290113822894,0,11,0,4120406
2025-08-24 16:31:51,3614274142341,0,4,1,4259595
2025-08-27 07:48:02,3605532972640,0,4,1,4258200
2025-08-27 07:48:02,7290104964947,0,4,1,4258200
2025-08-27 08:19:32,7290116534367,0,8,1,4257945
2025-08-27 16:26:52,7290113829879,0,4,1,4258058
2025-08-27 12:04:02,7290015381666,0,3,1,4268984
2025-08-27 16:26:52,7290114964395,0,4,1,4258058
2025-08-27 07:48:02,7290104965906,0,4,1,4258200
2025-08-27 07:48:02,7290114963442,0,4,1,4258200
2025-08-27 08:21:03,7290114965392,0,8,1,4258062
2025-08-24 16:39:48,7290106297289,0,3,1,4259898
2025-08-27 16:26:52,7290113823143,0,4,1,4258058
2025-08-27 07:48:02,30149410,0,4,1,4258200
2025-08-27 07:49:08,3574661593067,0,11,0,4120406
2025-08-27 07:48:02,3264680012525,0,4,1,4258200
2025-08-27 07:48:02,30189416,0,4,1,4258200
2025-08-27 08:17:59,7290117860038,0,3,1,4257636
2025-08-27 07:48:02,3390150574757,0,4,1,4258200
2025-08-26 08:39:23,850005353362,0,4,1,4259527
2025-08-21 09:46:41,7290011517564,0,3,1,4255397
2025-08-27 07:49:08,887167626140,0,11,0,4120406
2025-08-27 07:48:02,3600523216086,0,4,1,4258200
2025-08-25 09:00:23,887167569713,0,3,1,4259942
2025-08-27 16:26:52,7290111595257,0,4,1,4258058
