barcode,name,price,quantity,qty_unit,computed_unit_price,computed_unit_label,has_promo,PromotionIds,RewardTypes,AnyGift,AnyMulti,manufacturer,country,description,price_update_date
8700216134644,'אריאל קפסולות גל לכביסה 50 יחידות,77.9,50.0,,,,True,4263105,3,0,1,דיפלומט,צרפת,קפסולות ג'ל לכביסה Allin1,2025-04-09
7290000412481,00 מנקה אסלות 1 ליטר,9.9,1.0,,,,False,,,,,החברה הדרומית,ישראל,00 מנקה אסלות,2025-08-11
7290115043426,100% גלייז עיצוב לשיער מתולתל,37.9,400.0,ml,9.47,per_100ml,True,4262715,8,0,1,General,ישראל,100% גלייז עיצוב לשיער מתולתל,2025-04-09
7290115044188,20% גלייז 80% קרם לחות למתולתל,37.9,400.0,ml,9.47,per_100ml,True,4262715,8,0,1,General,ישראל,20% גלייז 80% קרם לחות למתולתל,2025-04-09
7296089000212,4 עונות אבן קריסטל לאישה,43.9,0.0,,,,False,,,,,זר הייטק,,דאודורנט אבן קריסטל לאשה,2025-04-20
7296089000205,4 עונות אבן קריסטל לגבר,43.9,120.0,g,36.58,per_100g,False,,,,,זר הייטק,,דאודורנט אבן קריסטל לגבר ללא ריח,2025-04-20
7290115043433,40% גלייז 60% קרם לחות מתולתל,37.9,400.0,ml,9.47,per_100ml,True,4262715,8,0,1,General,ישראל,40% גלייז 60% קרם לחות מתולתל,2025-04-09
7290100629864,417- חמאת גוף ארומאטית להזנה עשירה – אוק,101.0,250.0,ml,40.4,per_100ml,True,"4120406,4258200","11,4",0,1,שסטוביץ,ישראל,חמאת גוף ארומאטית להזנה עשירה – אוקינוס,2025-06-01
7290015429207,60 כמוסות - pH Gastrilex,200.9,60.0,,,,True,4257590,2,0,1,אמורפיקל,ישראל,pH Gastrilex - סידן קרבונט אמורפי,2025-04-22
7290015429139,60 שקיקים - pH Direct,210.9,60.0,,,,True,4257590,2,0,1,אמורפיקל,ישראל,pH Direct - אבקת סידן קרבונט אמורפי,2025-04-22
7610458607091,709-מברשת רכה 4 שורות אינטרספייס ורוד,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס ורוד,2025-04-09
7610458207093,709-מברשת רכה 4 שורות אינטרספייס טורקיז,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס טורקיז,2025-04-09
7610458107096,709-מברשת רכה 4 שורות אינטרספייס ירוק בה,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס ירוק בהיר,2025-04-09
7610458407097,709-מברשת רכה 4 שורות אינטרספייס כחול כה,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס כחול כהה,2025-04-09
7610458507094,709-מברשת רכה 4 שורות אינטרספייס כתום,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס כתום,2025-04-09
7610458307090,709-מברשת רכה 4 שורות אינטרספייס תכלת,28.9,0.0,,,,False,,,,,סיראם,שווייץ,709-מברשת שיניים רכה 4 שורות אינטרספייס תכלת,2025-04-09
7610458607145,714-מברשת שיניים רכה במיוחד 5 שורות ורוד,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות ורוד,2025-04-09
7610458207147,714-מברשת שיניים רכה במיוחד 5 שורות טורק,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות טורקיז,2025-04-09
7610458107140,714-מברשת שיניים רכה במיוחד 5 שורות ירוק,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות ירוק בהיר,2025-04-09
7610458407141,714-מברשת שיניים רכה במיוחד 5 שורות כחול,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות כחול כהה,2025-04-09
7610458507148,714-מברשת שיניים רכה במיוחד 5 שורות כתום,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות כתום,2025-04-09
7610458307144,714-מברשת שיניים רכה במיוחד 5 שורות תכלת,31.9,0.0,,,,False,,,,,סיראם,,714-מברשת שיניים רכה במיוחד 5 שורות תכלת,2025-04-09
7610458607152,715-מברשת שיניים רכה 5 שורות ורוד,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות ורוד,2025-04-09
7610458207154,715-מברשת שיניים רכה 5 שורות טורקיז,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות טורקיז,2025-04-09
7610458107157,715-מברשת שיניים רכה 5 שורות ירוק בהיר,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות ירוק בהיר,2025-04-09
7610458407158,715-מברשת שיניים רכה 5 שורות כחול כהה,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות כחול כהה,2025-04-09
7610458507155,715-מברשת שיניים רכה 5 שורות כתום,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות כתום,2025-04-09
7610458307151,715-מברשת שיניים רכה 5 שורות תכלת,31.9,0.0,,,,False,,,,,סיראם,שווייץ,715-מברשת שיניים רכה 5 שורות תכלת,2025-04-09
7610458607398,739-מברשת רכה 3 שורות אינטרספייס ורוד,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס ורוד,2025-04-09
7610458207390,739-מברשת רכה 3 שורות אינטרספייס טורקיז,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס טורקיז,2025-04-09
7610458107393,739-מברשת רכה 3 שורות אינטרספייס ירוק בה,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס ירוק בהיר,2025-04-09
7610458407394,739-מברשת רכה 3 שורות אינטרספייס כחול כה,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס כחול כהה,2025-04-09
7610458507391,739-מברשת רכה 3 שורות אינטרספייס כתום,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס כתום,2025-04-09
7610458307397,739-מברשת רכה 3 שורות אינטרספייס תכלת,28.9,0.0,,,,False,,,,,סיראם,שווייץ,739-מברשת שיניים רכה 3 שורות אינטרספייס תכלת,2025-04-09
7610458607442,744-מברשת שיניים 3 שורות אינטרספייס ורוד,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס ורוד,2025-04-09
7610458207444,744-מברשת שיניים 3 שורות אינטרספייס טורק,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס טורקיז,2025-04-09
7610458107447,744-מברשת שיניים 3 שורות אינטרספייס ירוק,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס ירוק בהיר,2025-04-09
7610458407448,744-מברשת שיניים 3 שורות אינטרספייס כחול,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס כחול כהה,2025-04-09
7610458507445,744-מברשת שיניים 3 שורות אינטרספייס כתום,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס כתום,2025-04-09
7610458307441,744-מברשת שיניים 3 שורות אינטרספייס תכלת,29.9,0.0,,,,False,,,,,סיראם,שווייץ,744-מברשת שיניים 3 שורות אינטרספייס תכלת,2025-04-09
5201360639007,7DAYS בייק רולס מלח 80 גרם,11.9,80.0,g,14.88,per_100g,False,,,,,דיפלומט,רומניה,בייק רולס צנימים עם מלח,2025-08-11
5201360797196,7DAYS קייק בר שוקולד - מארז 8 יחידות,21.9,8.0,,,,False,,,,,דיפלומט,רומניה,קייק בר שוקולד - מארז,2025-04-09
7610458309209,920-מברשת לתותבות/פלטות אורטודנטיות תכלת,42.9,0.0,,,,False,,,,,סיראם,,920-מברשת לתותבות/פלטות אורטודנטיות תכלת,2025-04-09
7298074502701,ACNIL GEL אקניל ג'ל לייבוש פצעונים 15 מל,79.9,15.0,ml,532.67,per_100ml,True,4258199,2,0,1,פריגו,,ג'ל לייבוש פצעונים,2025-04-07
7298074501070,ACNIL LOTION,70.9,100.0,,,,True,4258199,2,0,1,פריגו,,תחליב לחות טיפולי נטול שומן לטיפול בפצעונים,2025-04-07
7298074501087,ACNIL ROSE,102.9,30.0,ml,343.0,per_100ml,False,,,,,פריגו,,"קרם פנים לטיפול באדמומיות העור, סומק ונימים",2025-04-07
7298074502695,ACNIL WASH תרחיץ פנים טיפולי 150 מל,79.9,150.0,ml,53.27,per_100ml,True,4258199,2,0,1,פריגו,,תרחיץ פנים טיפולי נטול שומן,2025-04-07
7298074502909,ACNIL אקניל תחליב לחות והגנה 3 ב-1 לטיפו,79.9,75.0,ml,106.53,per_100ml,True,4258199,2,0,1,פריגו,ישראל,תחליב לחות והגנה 3 ב-1 לטיפול בפצעונים SPF30,2025-06-17
5060477670002,ACTIPH מי שתייה בתוספת מינרלים 600 מל,12.9,600.0,ml,2.15,per_100ml,False,,,,,נורוליס,בריטניה,מי שתייה בתוספת מינרלים,2025-08-11
7290008711678,ACTISOAP,39.9,250.0,ml,15.96,per_100ml,False,,,,,ניאופארם,,סבון היגייני מועשר בתמציות צמחי מרפא,2025-04-07
